name,team,age,pos,games,gamesStarted,targets,receptions,catchPercentage,yards,yardsPerRec,td,long,recPerGame,yardPerGame,fumbles
BILAL POWELL,NYJ,28,"",2,0,6,3,50.0,8,2.7,0,7,1.5,4.0,0
JALEN RICHARD,OAK,23,"",2,0,3,3,100.0,21,7.0,0,10,1.5,10.5,0
ALDRICK ROBINSON,ATL,28,"",2,0,4,3,75.0,39,13.0,0,20,1.5,19.5,0
RICHARD RODGERS,GNB,24,"",2,0,5,3,60.0,47,15.7,0,22,1.5,23.5,0
AUSTIN SEFERIAN-JENKINS,TAM,24,"",2,0,3,3,100.0,44,14.7,1,30,1.5,22.0,0
KENNY STILLS,MIA,24,WR,2,2,9,3,33.3,55,18.3,1,24,1.5,27.5,0
GEOFF SWAIM,DAL,25,TE,2,1,3,3,100.0,50,16.7,0,28,1.5,25.0,0
TERRANCE WEST,BAL,25,"",2,0,5,3,60.0,21,7.0,0,15,1.5,10.5,0
TERRANCE WILLIAMS,DAL,27,WR,2,2,4,3,75.0,34,11.3,0,14,1.5,17.0,0
LUKE WILLSON,SEA,26,TE,2,2,5,3,60.0,32,10.7,0,19,1.5,16.0,0
KAMAR AIKEN,BAL,27,"",2,0,3,2,66.7,14,7.0,0,16,1.0,7.0,0
JOHN BROWN,ARI,26,"",2,0,7,2,28.6,22,11.0,0,14,1.0,11.0,0
LEONTE CARROO,MIA,22,WR,2,1,2,2,100.0,14,7.0,0,12,1.0,7.0,0
GARRETT CELEK,SFO,28,"",2,0,6,2,33.3,27,13.5,0,15,1.0,13.5,0
BRANDON COLEMAN,NOR,24,"",2,0,4,2,50.0,15,7.5,0,10,1.0,7.5,0
BENNY CUNNINGHAM,LAR,26,"",2,0,3,2,66.7,14,7.0,0,7,1.0,7.0,0
JOSH DOCTSON,WAS,24,"",2,0,6,2,33.3,66,33.0,0,57,1.0,33.0,0
HARRY DOUGLAS,TEN,32,"",2,0,5,2,40.0,21,10.5,0,16,1.0,10.5,0
KENYAN DRAKE,MIA,22,"",2,0,2,2,100.0,6,3.0,0,4,1.0,3.0,0
SHAUN DRAUGHN,SFO,29,"",2,0,3,2,66.7,18,9.0,0,11,1.0,9.0,1
C.J. FIEDOROWICZ,HOU,25,TE,2,2,3,2,66.7,7,3.5,0,6,1.0,3.5,0
TAYLOR GABRIEL,ATL,25,"",1,0,2,2,100.0,19,9.5,0,11,2.0,19.0,0
MIKE GILLISLEE,BUF,26,"",2,0,2,2,100.0,14,7.0,1,18,1.0,7.0,0
CROCKETT GILLMORE,BAL,25,TE,2,1,4,2,50.0,27,13.5,0,22,1.0,13.5,0
MARQUISE GOODWIN,BUF,26,"",2,0,5,2,40.0,112,56.0,1,84,1.0,56.0,0
RASHAD GREENE,JAX,24,"",2,0,5,2,40.0,16,8.0,0,9,1.0,8.0,0
XAVIER GRIMBLE,PIT,24,"",2,0,4,2,50.0,26,13.0,1,20,1.0,13.0,0
TODD GURLEY,LAR,22,RB,2,2,4,2,50.0,14,7.0,0,19,1.0,7.0,0
JUSTIN HARDY,ATL,25,WR,2,1,5,2,40.0,8,4.0,1,8,1.0,4.0,0
DEMETRIUS HARRIS,KAN,25,TE,2,1,4,2,50.0,20,10.0,0,13,1.0,10.0,0
JORDAN HOWARD,CHI,22,"",1,0,2,2,100.0,9,4.5,0,7,2.0,9.0,0
DONTRELLE INMAN,SDG,27,WR,2,2,6,2,33.3,13,6.5,0,7,1.0,6.5,0
MALCOLM JOHNSON,CLE,24,FB,2,1,2,2,100.0,9,4.5,0,6,1.0,4.5,0
MATT JONES,WAS,23,RB,2,2,2,2,100.0,13,6.5,0,9,1.0,6.5,0
TAIWAN JONES,OAK,28,"",2,0,2,2,100.0,17,8.5,0,16,1.0,8.5,0
JOHN KUHN,NOR,34,"",2,0,3,2,66.7,8,4.0,0,5,1.0,4.0,0
CODY LATIMER,DEN,24,WR,2,1,2,2,100.0,12,6.0,0,8,1.0,6.0,0
JERICK MCKINNON,MIN,24,"",2,0,3,2,66.7,2,1.0,0,3,1.0,1.0,0
BRAXTON MILLER,HOU,24,WR,2,2,6,2,33.3,9,4.5,0,6,1.0,4.5,0
CHRIS MOORE,BAL,23,"",2,0,4,2,50.0,22,11.0,0,13,1.0,11.0,0
JAMIZE OLAWALE,OAK,27,FB,2,2,2,2,100.0,28,14.0,0,15,1.0,14.0,0
